UNIT FILE                                                                 STATE           PRESET
proc-sys-fs-binfmt_misc.automount                                         static          -
-.mount                                                                   generated       -
dev-hugepages.mount                                                       static          -
dev-mqueue.mount                                                          static          -
proc-sys-fs-binfmt_misc.mount                                             disabled        disabled
sys-fs-fuse-connections.mount                                             static          -
sys-kernel-config.mount                                                   static          -
sys-kernel-debug.mount                                                    static          -
sys-kernel-tracing.mount                                                  static          -
acpid.path                                                                enabled         enabled
systemd-ask-password-console.path                                         static          -
systemd-ask-password-plymouth.path                                        static          -
systemd-ask-password-wall.path                                            static          -
session-2.scope                                                           transient       -
session-7.scope                                                           transient       -
accounts-daemon.service                                                   enabled         enabled
acpid.service                                                             disabled        enabled
anacron.service                                                           enabled         enabled
apparmor.service                                                          enabled         enabled
apt-daily-upgrade.service                                                 static          -
apt-daily.service                                                         static          -
autovt@.service                                                           alias           -
bluetooth.service                                                         enabled         enabled
console-getty.service                                                     disabled        disabled
console-setup.service                                                     enabled         enabled
container-getty@.service                                                  static          -
containerd.service                                                        enabled         enabled
cron.service                                                              enabled         enabled
cryptdisks-early.service                                                  masked          enabled
cryptdisks.service                                                        masked          enabled
dbus-fi.w1.wpa_supplicant1.service                                        alias           -
dbus-org.bluez.service                                                    alias           -
dbus-org.freedesktop.hostname1.service                                    alias           -
dbus-org.freedesktop.locale1.service                                      alias           -
dbus-org.freedesktop.login1.service                                       alias           -
dbus-org.freedesktop.nm-dispatcher.service                                alias           -
dbus-org.freedesktop.thermald.service                                     alias           -
dbus-org.freedesktop.timedate1.service                                    alias           -
dbus-org.freedesktop.timesync1.service                                    alias           -
dbus.service                                                              static          -
debug-shell.service                                                       disabled        disabled
display-manager.service                                                   alias           -
docker.service                                                            disabled        enabled
dpkg-db-backup.service                                                    static          -
e2scrub@.service                                                          static          -
e2scrub_all.service                                                       static          -
e2scrub_fail@.service                                                     static          -
e2scrub_reap.service                                                      enabled         enabled
emergency.service                                                         static          -
fancontrol.service                                                        enabled         enabled
fstrim.service                                                            static          -
getty-static.service                                                      static          -
getty@.service                                                            enabled         enabled
happd.service                                                             enabled         enabled
hwclock.service                                                           masked          enabled
ifup@.service                                                             static          -
ifupdown-pre.service                                                      static          -
ifupdown-wait-online.service                                              disabled        enabled
initrd-cleanup.service                                                    static          -
initrd-parse-etc.service                                                  static          -
initrd-switch-root.service                                                static          -
initrd-udevadm-cleanup-db.service                                         static          -
keyboard-setup.service                                                    enabled         enabled
kmod-static-nodes.service                                                 static          -
kmod.service                                                              alias           -
lightdm.service                                                           enabled         enabled
lm-sensors.service                                                        enabled         enabled
logrotate.service                                                         static          -
man-db.service                                                            static          -
modprobe@.service                                                         static          -
networking.service                                                        enabled         enabled
NetworkManager-dispatcher.service                                         enabled         enabled
NetworkManager-wait-online.service                                        enabled         enabled
NetworkManager.service                                                    enabled         enabled
nftables.service                                                          disabled        enabled
nm-priv-helper.service                                                    static          -
pam_namespace.service                                                     static          -
pcscd.service                                                             indirect        enabled
pg_basebackup@.service                                                    static          -
pg_compresswal@.service                                                   static          -
pg_dump@.service                                                          static          -
pg_receivewal@.service                                                    disabled        enabled
plymouth-halt.service                                                     static          -
plymouth-kexec.service                                                    static          -
plymouth-log.service                                                      alias           -
plymouth-poweroff.service                                                 static          -
plymouth-quit-wait.service                                                static          -
plymouth-quit.service                                                     static          -
plymouth-read-write.service                                               static          -
plymouth-reboot.service                                                   static          -
plymouth-start.service                                                    static          -
plymouth-switch-root-initramfs.service                                    static          -
plymouth-switch-root.service                                              static          -
plymouth.service                                                          alias           -
polkit.service                                                            static          -
postgresql.service                                                        disabled        enabled
postgresql@.service                                                       indirect        enabled
powertop.service                                                          enabled         enabled
procps.service                                                            alias           -
pulseaudio-enable-autospawn.service                                       masked          enabled
quotaon.service                                                           static          -
rc-local.service                                                          static          -
rc.service                                                                masked          enabled
rcS.service                                                               masked          enabled
rescue.service                                                            static          -
rtkit-daemon.service                                                      disabled        enabled
serial-getty@.service                                                     disabled        enabled
smartd.service                                                            alias           -
smartmontools.service                                                     enabled         enabled
sudo.service                                                              masked          enabled
sysstat-collect.service                                                   static          -
sysstat-summary.service                                                   static          -
sysstat.service                                                           disabled        enabled
system-update-cleanup.service                                             static          -
systemd-ask-password-console.service                                      static          -
systemd-ask-password-plymouth.service                                     static          -
systemd-ask-password-wall.service                                         static          -
systemd-backlight@.service                                                static          -
systemd-binfmt.service                                                    static          -
systemd-boot-check-no-failures.service                                    disabled        disabled
systemd-exit.service                                                      static          -
systemd-firstboot.service                                                 static          -
systemd-fsck-root.service                                                 enabled-runtime enabled
systemd-fsck@.service                                                     static          -
systemd-fsckd.service                                                     static          -
systemd-halt.service                                                      static          -
systemd-hibernate-resume@.service                                         static          -
systemd-hibernate.service                                                 static          -
systemd-hostnamed.service                                                 static          -
systemd-hybrid-sleep.service                                              static          -
systemd-initctl.service                                                   static          -
systemd-journal-flush.service                                             static          -
systemd-journald.service                                                  static          -
systemd-journald@.service                                                 static          -
systemd-kexec.service                                                     static          -
systemd-localed.service                                                   static          -
systemd-logind.service                                                    static          -
systemd-machine-id-commit.service                                         static          -
systemd-modules-load.service                                              static          -
systemd-network-generator.service                                         disabled        enabled
systemd-networkd-wait-online.service                                      disabled        disabled
systemd-networkd-wait-online@.service                                     disabled        enabled
systemd-networkd.service                                                  disabled        enabled
systemd-pcrphase-initrd.service                                           static          -
systemd-pcrphase-sysinit.service                                          static          -
systemd-pcrphase.service                                                  static          -
systemd-poweroff.service                                                  static          -
systemd-pstore.service                                                    enabled         enabled
systemd-quotacheck.service                                                static          -
systemd-random-seed.service                                               static          -
systemd-reboot.service                                                    static          -
systemd-remount-fs.service                                                enabled-runtime enabled
systemd-repart.service                                                    static          -
systemd-rfkill.service                                                    masked          enabled
systemd-suspend-then-hibernate.service                                    static          -
systemd-suspend.service                                                   static          -
systemd-sysctl.service                                                    static          -
systemd-sysext.service                                                    disabled        enabled
systemd-sysusers.service                                                  static          -
systemd-time-wait-sync.service                                            disabled        disabled
systemd-timedated.service                                                 static          -
systemd-timesyncd.service                                                 enabled         enabled
systemd-tmpfiles-clean.service                                            static          -
systemd-tmpfiles-setup-dev.service                                        static          -
systemd-tmpfiles-setup.service                                            static          -
systemd-udev-settle.service                                               static          -
systemd-udev-trigger.service                                              static          -
systemd-udevd.service                                                     static          -
systemd-update-utmp-runlevel.service                                      static          -
systemd-update-utmp.service                                               static          -
systemd-user-sessions.service                                             static          -
systemd-volatile-root.service                                             static          -
thermald.service                                                          enabled         enabled
tlp.service                                                               enabled         enabled
udev.service                                                              alias           -
upower.service                                                            disabled        enabled
usb-mount@.service                                                        disabled        enabled
usb-unmount@.service                                                      static          -
user-runtime-dir@.service                                                 static          -
user@.service                                                             static          -
wpa_supplicant-nl80211@.service                                           disabled        enabled
wpa_supplicant-wired@.service                                             disabled        enabled
wpa_supplicant.service                                                    enabled         enabled
wpa_supplicant@.service                                                   disabled        enabled
x11-common.service                                                        masked          enabled
machine.slice                                                             static          -
system-systemd\x2dcryptsetup.slice                                        static          -
user.slice                                                                static          -
acpid.socket                                                              enabled         enabled
dbus.socket                                                               static          -
docker.socket                                                             enabled         enabled
pcscd.socket                                                              enabled         enabled
syslog.socket                                                             static          -
systemd-fsckd.socket                                                      static          -
systemd-initctl.socket                                                    static          -
systemd-journald-audit.socket                                             static          -
systemd-journald-dev-log.socket                                           static          -
systemd-journald-varlink@.socket                                          static          -
systemd-journald.socket                                                   static          -
systemd-journald@.socket                                                  static          -
systemd-networkd.socket                                                   disabled        enabled
systemd-rfkill.socket                                                     masked          enabled
systemd-udevd-control.socket                                              static          -
systemd-udevd-kernel.socket                                               static          -
dev-disk-by\x2duuid-50f62dd2\x2d2bf0\x2d474e\x2db817\x2d46f673cd1587.swap generated       -
basic.target                                                              static          -
blockdev@.target                                                          static          -
bluetooth.target                                                          static          -
boot-complete.target                                                      static          -
cryptsetup-pre.target                                                     static          -
cryptsetup.target                                                         static          -
ctrl-alt-del.target                                                       alias           -
default.target                                                            alias           -
emergency.target                                                          static          -
exit.target                                                               disabled        disabled
factory-reset.target                                                      static          -
final.target                                                              static          -
first-boot-complete.target                                                static          -
getty-pre.target                                                          static          -
getty.target                                                              static          -
graphical.target                                                          static          -
halt.target                                                               disabled        disabled
hibernate.target                                                          static          -
hybrid-sleep.target                                                       static          -
initrd-fs.target                                                          static          -
initrd-root-device.target                                                 static          -
initrd-root-fs.target                                                     static          -
initrd-switch-root.target                                                 static          -
initrd-usr-fs.target                                                      static          -
initrd.target                                                             static          -
integritysetup-pre.target                                                 static          -
integritysetup.target                                                     static          -
kexec.target                                                              disabled        disabled
local-fs-pre.target                                                       static          -
local-fs.target                                                           static          -
multi-user.target                                                         static          -
network-online.target                                                     static          -
network-pre.target                                                        static          -
network.target                                                            static          -
nss-lookup.target                                                         static          -
nss-user-lookup.target                                                    static          -
paths.target                                                              static          -
poweroff.target                                                           disabled        disabled
printer.target                                                            static          -
reboot.target                                                             disabled        enabled
remote-cryptsetup.target                                                  disabled        enabled
remote-fs-pre.target                                                      static          -
remote-fs.target                                                          enabled         enabled
remote-veritysetup.target                                                 disabled        enabled
rescue.target                                                             static          -
rpcbind.target                                                            static          -
runlevel0.target                                                          alias           -
runlevel1.target                                                          alias           -
runlevel2.target                                                          alias           -
runlevel3.target                                                          alias           -
runlevel4.target                                                          alias           -
runlevel5.target                                                          alias           -
runlevel6.target                                                          alias           -
shutdown.target                                                           static          -
sigpwr.target                                                             static          -
sleep.target                                                              static          -
slices.target                                                             static          -
smartcard.target                                                          static          -
sockets.target                                                            static          -
sound.target                                                              static          -
suspend-then-hibernate.target                                             static          -
suspend.target                                                            static          -
swap.target                                                               static          -
sysinit.target                                                            static          -
system-update-pre.target                                                  static          -
system-update.target                                                      static          -
time-set.target                                                           static          -
time-sync.target                                                          static          -
timers.target                                                             static          -
umount.target                                                             static          -
usb-gadget.target                                                         static          -
veritysetup-pre.target                                                    static          -
veritysetup.target                                                        static          -
anacron.timer                                                             enabled         enabled
apt-daily-upgrade.timer                                                   enabled         enabled
apt-daily.timer                                                           enabled         enabled
dpkg-db-backup.timer                                                      enabled         enabled
e2scrub_all.timer                                                         enabled         enabled
fstrim.timer                                                              enabled         enabled
logrotate.timer                                                           enabled         enabled
man-db.timer                                                              enabled         enabled
pg_basebackup@.timer                                                      disabled        enabled
pg_compresswal@.timer                                                     disabled        enabled
pg_dump@.timer                                                            disabled        enabled
sysstat-collect.timer                                                     disabled        enabled
sysstat-summary.timer                                                     disabled        enabled
systemd-tmpfiles-clean.timer                                              static          -

292 unit files listed.
